id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
462,LCCE26859,BHARATH BIJILEE 55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,BHARATH BIJILEE,,MOTOR
463,LCCE26735,SIEMENS 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
464,LCCE26402,ABB 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
465,LAHC15520,FAN FLEXIBLE 7/7 - Kruger Fan,,Nos,OEM,,ANTI-VIBRATIONS
466,LCCE26481,CG 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
467,LCCE26307,ABB 2.2 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,ABB,,MOTOR
468,LCCC13372,BELT A-90,,Nos,OEM,,BELT
469,LCCC13373,BELT A-91,,Nos,OEM,,BELT
470,LCCE26730,SIEMENS 7.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
471,LAHC15521,FAN FLEXIBLE 7/7 - Nicotra Fan,,Nos,OEM,,ANTI-VIBRATIONS
472,LCCE26695,SIEMENS 22 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,SIEMENS,,MOTOR
473,LAHC24126,HRW 800 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
474,LCCE26962,BHARATH BIJILEE 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,BHARATH BIJILEE,,MOTOR
475,LCCE26746,SIEMENS 1.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
476,LCCC13374,BELT A-92,,Nos,OEM,,BELT
477,LCCE26650,CG 7.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
478,LAHM48609,AHU FAN/WIRING DIAGRAM,,Nos,OEM,,NAME PLATE/STICKER/LABELS
479,LCCC13375,BELT A-93,,Nos,OEM,,BELT
480,LCCE26880,BHARATH BIJILEE 75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,BHARATH BIJILEE,,MOTOR
481,LCCE26463,ABB 0.55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
482,LCCE26338,ABB 45 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE1,,Nos,ABB,,MOTOR
483,LCCC13376,BELT A-94,,Nos,OEM,,BELT
484,LCCE26399,ABB 55 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
485,LAHC23713,ALUMINUM MOUNTING PROFILE - FAN/MOTOR MOUNTING 80-80 (FMB00-01),,Meters,OEM,,ALUMINIUM PROFILES
486,LCCE26770,SIEMENS 7.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
487,LCCC13377,BELT A-95,,Nos,OEM,,BELT
488,LCCE26480,ABB 75 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
489,LCCH30029,ALLEN HEAD BOLT GI M12 x 16,,Nos,OEM,,FASTENERS
490,LCCE26482,CG 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,CG,,MOTOR
491,LCCC13378,BELT A-96,,Nos,OEM,,BELT
492,LAHS63001,AIR HANDLING UNIT,,Nos,LUFTEK,,AHU
493,LCCC13379,BELT A-98,,Nos,OEM,,BELT
494,LCCC14930,DRAIN PLUG,,Nos,OEM,COIL DRAIN,VALVE
495,LCCE26908,BHARATH BIJILEE 3.7 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,BHARATH BIJILEE,,MOTOR
496,LCCC13380,BELT A-100,,Nos,OEM,,BELT
497,LCCE26429,ABB 5.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE3,,Nos,ABB,,MOTOR
498,LCCE26661,SIEMENS 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE1,,Nos,SIEMENS,,MOTOR
499,LAHC11060,KAT 18/18 S2-CCW 270 KRUGER MAKE,,Nos,KRUGER,,FAN
500,LCCE26582,CG 0.37 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,CG,,MOTOR
501,LCCE26621,CG 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE3,,Nos,CG,,MOTOR
502,LAHM48618,WARRANTY CARD,,Nos,OEM,,NAME PLATE/STICKER/LABELS
503,LCCE26411,ABB 9.3 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
504,LCCC13381,BELT A-105,,Nos,OEM,,BELT
505,LAHC11061,FDA 160 CM KRUGER MAKE,,Nos,KRUGER,,FAN
506,LCCC12741,125x2B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
507,LCCC12742,132x2B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
508,LCCH30030,ALLEN HEAD BOLT SS M6 x 16,,Nos,OEM,,FASTENERS
509,LCCE26721,SIEMENS 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,SIEMENS,,MOTOR
510,LCCE26590,CG 7.5 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,CG,,MOTOR
511,LAHC24127,HRW 900 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
512,LCCC13382,BELT A-108,,Nos,OEM,,BELT
513,LCCE26705,SIEMENS 1.1 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 2 POLE FOOT MOUNTED-IE1,,Nos,SIEMENS,,MOTOR
514,LCCH30031,ALLEN HEAD BOLT SS M8 x 16,,Nos,OEM,,FASTENERS
515,LCCE26381,ABB 0.25 KW 3 PH TEFC-SQCAGE INDUCTION MOTOR 6 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
516,LAHC24128,HRW 1000 - MS200,,Nos,DRI,,HEAT RECOVERY WHEEL
517,LAHC11062,FDA 180 CM KRUGER MAKE,,Nos,KRUGER,,FAN
518,LAHC15522,FAN FLEXIBLE 8/8,,Nos,OEM,,ANTI-VIBRATIONS
519,LCCC12743,140x2B,,Nos,OEM,PULLEY,PULLEYS/BEARINGS
520,LAHC14343,BAG FILTER EU8 GRADE - 287 MM (W) x 592 MM (H) x 635MM (D),,Nos,OEM,BAG FILTER,FILTER
