id,Code,Name,Description,Unit,Brand,Sub_Group,Item_Group
2428,LAHC14556,RIGID FILTER EU9 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2429,LAHC14557,RIGID FILTER EU9 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2430,LAHC14558,BAG FILTER EU5 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2431,LAHC14559,BAG FILTER EU5 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2432,LAHC14560,BAG FILTER EU5 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2433,LAHC14561,BAG FILTER EU5 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2434,LAHC14562,BAG FILTER EU5 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2435,LAHC14563,BAG FILTER EU6 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2436,LAHC14564,BAG FILTER EU6 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2437,LAHC14565,BAG FILTER EU6 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2438,LAHC14566,BAG FILTER EU6 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2439,LAHC14567,BAG FILTER EU6 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2440,LAHC14568,BAG FILTER EU7 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2441,LAHC14569,BAG FILTER EU7 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2442,LAHC14570,BAG FILTER EU7 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2443,LAHC14571,BAG FILTER EU7 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2444,LAHC14572,BAG FILTER EU7 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2445,LAHC14573,BAG FILTER EU9 GRADE - 610 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2446,LAHC14574,BAG FILTER EU9 GRADE -610 MM (W) x 510 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2447,LAHC14575,BAG FILTER EU9 GRADE - 510 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2448,LAHC14576,BAG FILTER EU9 GRADE - 305 MM (W) x 610 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2449,LAHC14577,BAG FILTER EU9 GRADE - 610 MM (W) x 305 MM (H) x 300MM (D),,Nos,OEM,BAG FILTER,FILTER
2450,LCCR07009,SS SHEET 316 GRADE 1.6mm THK,,Kgs,OEM,,SS SHEETS
2451,LAHC11311,ER80C-4DN.K7.1R,,Nos,OEM,,FAN
2452,LAHC14578,ACTIVATED CARBON FILTER - 595 MM (W) x 494 MM (H) x 100MM (D),,Nos,OEM,CARBON FILTER,FILTER
2453,LAHC14579,ACTIVATED CARBON FILTER - 595 MM (W) x 595 MM (H) x 100MM (D),,Nos,OEM,CARBON FILTER,FILTER
2454,LAHC14580,ACTIVATED CARBON FILTER - 290 MM (W) x 595 MM (H) x 100MM (D),,Nos,OEM,CARBON FILTER,FILTER
2455,LAHC14581,ACTIVATED CARBON FILTER - 595 MM (W) x 290 MM (H) x 100MM (D),,Nos,OEM,CARBON FILTER,FILTER
2456,LAHC14582,ACTIVATED CARBON FILTER - 494 MM (W) x 595 MM (H) x 100MM (D),,Nos,OEM,CARBON FILTER,FILTER
2457,LAHC11312,140 x 190 FCU Fan with Housing,,Nos,OEM,,FAN
2458,LCCR07532,M.S Perforated Sheet,,Kgs,OEM,,G.I / COATED SHEETS
2459,LCCR07533,GI Perforated Sheet,,Kgs,OEM,,G.I / COATED SHEETS
2460,LAHC11313,RLM E6-2831 -315 Dia Plug Fan,,Nos,OEM,,FAN
2461,LAHM48624,GAS / LIQUID IN  STICKER,,Nos,OEM,,NAME PLATE/STICKER/LABELS
2462,LAHM48625,GAS  OUT  STICKER,,Nos,OEM,,NAME PLATE/STICKER/LABELS
2463,LAHM48626,"""U"" TRAP  STICKER",,Nos,OEM,,NAME PLATE/STICKER/LABELS
2464,LAHR17242,2 1/2  Inches Copper Elbow,,Nos,OEM,,COPPER ITEMS
2465,LCCM48528,5 Ply Corrugated Box 380mm (W) x 350mm (D) x 216mm(H),,Nos,OEM,,PACKING
2466,LAHR05284,1 Inch Brass Threaded Adaptor,,Nos,OEM,,BRASS ITEMS
2467,LAHR05285,1 1/2  Inches Brass Threaded Adaptor,,Nos,OEM,,BRASS ITEMS
2468,LAHR05286,2  Inches Brass Threaded Adaptor,,Nos,OEM,,BRASS ITEMS
2469,LAHR05287,2  1/2 Inches Brass Threaded Adaptor,,Nos,OEM,,BRASS ITEMS
2470,LAHR05288,3 Inches Brass Threaded Adaptor,,Nos,OEM,,BRASS ITEMS
2471,LAHC24768,NITRILE RUBBER ELASTOMERIC SELF ADHESIVE  TAPE,50mm Width with Self Adhesive,Meters,OEM,,GASKET & INSULATION
2472,LAHC11314,GR35C.ZID.DG.CR,,Nos,OEM,,FAN
2473,LAHC11315,GR50C.ZID.GL.CR,,Nos,OEM,,FAN
2474,LAHC11316,K3G500-PB24-03 - EBM MAKE,,Nos,EBM,,FAN
2475,LCCC14935,Non Return Valve - 2 Inches,,Nos,OEM,,VALVE
2476,LCCC14936,Butterfly Valve - 2 Inches,,Nos,OEM,,VALVE
2477,LCCC14937,3 Way Motorized Valve with Actuator - 1 1/2  Inches,,Nos,OEM,,VALVE
2478,LCCE27025,ABB 1.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2479,LCCE27026,ABB 2.2 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2480,LCCE27027,ABB 3.7 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2481,LCCE27028,ABB 5.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2482,LCCE27029,ABB 1.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2483,LCCE27030,ABB 2.2 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2484,LCCE27031,ABB 3.7 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2485,LCCE27032,ABB 5.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 4 POLE FOOT MOUNTED-IE2,,Nos,ABB,,MOTOR
2486,LAHC14583,PRE FILTER EU4 GRADE - 570 MM (W) x 960 MM (H) x 48MM (D),,Nos,OEM,PRE FILTER,FILTER
2487,LAHC14584,FINE FILTER EU7 GRADE - 570 MM (W) x 960 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2488,LAHC14585,PRE FILTER EU4 GRADE - 400 MM (W) x 150 MM (H) x 25MM (D),,Nos,OEM,PRE FILTER,FILTER
2489,LAHC14586,FINE FILTER EU7 GRADE - 610 MM (W) x 610 MM (H) x 100MM (D),,Nos,OEM,FINE FILTER,FILTER
2490,LAHC14587,MINI PLEAT HEPA FILTER H14 GRADE - 610 MM (W) x 610 MM (H) x 69MM (D),,Nos,OEM,HEPA FILTER,FILTER
2491,LAHC11317,K3G250-RR02-I2 - EBM MAKE,,Nos,EBM,,FAN
2492,LCCR07010,SS SHEET 304 GRADE 3.0mm THK,,Kgs,OEM,,SS SHEETS
2493,LCCE27033,CG 5.5 KW 3 PH TEFC-SQCAGE INDUCTION FLAME PROOF MOTOR 2 POLE FOOT MOUNTED-IE2,,Nos,CG,,MOTOR
2494,LAHC24402,HA0600-1200-060-2EOO-2-0-0-1200 - Cross Flow PHE,,Nos,OEM,,HEAT RECOVERY WHEEL
2495,LAHC24403,HA0850-1400-080-2EOO-2-2-0-1400 - Cross Flow PHE,,Nos,OEM,,HEAT RECOVERY WHEEL
2496,LAHC14588,RIGID FILTER EU7 GRADE - 355 MM (W) x 355 MM (H) x 300MM (D),,Nos,OEM,RIGID FILTER,FILTER
2497,LAHC14589,ACTIVATED CARBON FILTER - 350 MM (W) x 550 MM (H) x 150MM (D),,Nos,OEM,CARBON FILTER,FILTER
2498,LAHC14590,ACTIVATED CARBON FILTER - 440 MM (W) x 520 MM (H) x 150MM (D),,Nos,OEM,CARBON FILTER,FILTER
